Project,Project Description,Youtube Link
Hangman,Create a hangman games where the user guesses a secret word letter by letter,https://youtu.be/m4nEnsavl6w
Password Generator,Create a program that generates a strong password,https://youtu.be/rHTwjV1ORUQ
Password Checker,Create a program that checks the strength of a password,https://youtu.be/iJ01q-sRJAw
Tic-Tac-Toe,Create a program that plays Tic-Tac-Toe with the user,https://youtu.be/M3G1ZgOMFxo
