Project,Project Description,Youtube Link
Sudoku Solver,Create a program that can solve Sudoku puzzles,
Snake Game,Create the classic snake game through Pygame.,
Zelda-Style RPG Game,Create the classic Zelda-style RPG game through Pygame. Beware, this tutorial is 7 hours long! However, the finished project is definitely worth it.,https://youtu.be/QU1pPzEGrqw
